Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
,0,,,,,0,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-512gb-ssd-gpu-deca-core-153-medianoche,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-512gb-ssd-gpu-deca-core-153-plata,
,,,,,,,,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m2-16gb-1-tb-ssd-gpu-deca-core-136-35w-gris-espacial,
,,,,,,0,,,https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m2-16gb-1tb-ssd-gpu-deca-core-136-35w-midnight,
2.7GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8-gb-256gb-ssd-gpu-octa-core-136-midnight,90
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8-gb-512gb-ssd-gpu-deca-core-136-midnight,
2.8 GHz,6,16 Gb,512 Gb,15.4,NVidia GeForce RTX 3080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-256gb-ssd-gpu-octa-core-136-blanco-estrella,
2.8 GHz,4,16,512,15.6,NVidia GeForce RTX 3070 Ti,2,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-256gb-ssd-gpu-octa-core-136-gris-espacial,90
,,,,,,0,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-256gb-ssd-gpu-octa-core-136-midnight,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-256gb-ssd-gpu-octa-core-136-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-512gb-ssd-gpu-deca-core-136-blanco-estrella,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-retina-intel-core-i5-8gb-256gb-ssd-13-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-16gb-512gb-ssd-gpu-deca-core-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-8gb-256gb-ssd-gpu-deca-core-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-8gb-256gb-ssd-gpu-deca-core-133-plata,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-8gb-512gb-ssd-gpu-deca-core-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-8-nucleos-8gb-512gb-ssd-gpu-10-nucleos-14-gris-espacial,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-14-nucleos-36gb-1tb-ssd-gpu-30-nucleos-14-negro-espacial,
2.8 GHz,10,16,512,15.6,NVidia RTX 3080 Ti,4,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-14-nucleos-36gb-1tb-ssd-gpu-30-nucleos-14-plata,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-14-nucleos-36gb-1tb-ssd-gpu-30-nucleos-16-negro-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-14-nucleos-36gb-1tb-ssd-gpu-30-nucleos-16-plata,
2.4GHz,6,16GB,512,15.6,NVidia GeForce GTX 1660 Ti,2,Windows 10 Home,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-16-nucleos-48gb-1tb-ssd-gpu-40-nucleos-16-plata,5200
3.5 GHz,8,16,512,15.6,NVidia GeForce RTX 4080 Ti,2,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-pro-11-nucleos-18gb-512gb-ssd-gpu-14-nucleos-14-negro-espacial,90
3.20 GHz,4,16 Gb,512 Gb,14,NVidia GeForce GTX 1650,2,Windows 10 Home,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-pro-12-nucleos-18gb-1tb-ssd-gpu-18-nucleos-14-negro-espacial,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-pro-12-nucleos-36gb-512gb-ssd-gpu-18-nucleos-16-negro-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m3-pro-12-nucleos-36gb-512gb-ssd-gpu-18-nucleos-16-plata,
2.6 GHz,6,16,512,16,AMD Radeon Pro 5300M,4,macOS,2,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i7-16gb-512gb-ssd-radeon-pro-5300m-16-gris-espacial,
2.6 GHz,6,16 GB,512 GB,16 inches,AMD Radeon Pro 5300M,4,macOS,2 kg,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i7-16gb-512gb-ssd-radeon-pro-5300m-16-plata,
2.3 GHz,8 cores,16 GB,1 TB,16 inches,AMD Radeon Pro 5500M,4,macOS,2 kg,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i9-16gb-1tb-ssd-radeon-pro-5500m-16-gris-espacial,
2.3 GHz,8,16,1000,16,AMD Radeon Pro 5500M,4,macOS,2,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i9-16gb-1tb-ssd-radeon-pro-5500m-16-plata,
2.4 GHz,8,32,2048,16,AMD Radeon Pro 5500M,4,macOS,2,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i9-32gb-2tb-ssd-radeon-pro-5500m-16-gris-espacial,
2.4 GHz,8,32,2048,16,AMD Radeon Pro 5500M,4,macOS,2,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i9-32gb-2tb-ssd-radeon-pro-5500m-layout-usa-16-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m1-max-32gb-2tb-ssd-gpu-24-nucleos-162-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i9-16gb-512gb-ssd-radeon-pro-560x-154-plata-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/asus-e510ma-bq553ts-intel-celeron-n4020-4gb-128gb-emmc-156,
1.0 GHz hasta 3.6 GHz,4,8,512,15.6,Integrated: Intel UHD Graphics,5,Windows 10 Home,1.8,https://www.pccomponentes.com/asus-f515ja-bq1072t-intel-core-i5-1035g1-8gb-512gb-ssd-156,
2.4 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,Windows 10,,https://www.pccomponentes.com/asus-rog-flow-x13-gv301qe-k6229-amd-ryzen-9-5900hs-16gb-512gb-ssd-rtx-3050ti-134-tactil,90
2.4 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,,,https://www.pccomponentes.com/asus-rog-g513qm-hf070-amd-ryzen-9-5900hx-16gb-1tb-ssd-rtx3060-156,
2.9 GHz,8,16,512,15.6,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/asus-rog-g513qm-hf246-amd-ryzen-7-5800h-16gb-1tb-ssd-rtx3060-156,80
,,,,,,,,,https://www.pccomponentes.com/asus-rog-strix-g15-g513ic-hn004-amd-ryzen-7-4800h-16gb-512gb-ssd-rtx-3050-156,
4Gz,8,16,512,15.6,NVidia GeForce RTX 3050,5,,2.4,https://www.pccomponentes.com/asus-rog-strix-g17-g713ic-hx011-amd-ryzen-7-4800h-16gb-1tb-ssd-rtx-3050-173,
None,None,16,512,15.6,NVIDIA GeForce RTX 3080 Ti,4,Windows 10 Home 64 Bits,2.7,https://www.pccomponentes.com/asus-rog-strix-scar-17-g733qs-k4016t-amd-ryzen-9-5900hx-32gb-1tb-ssd-rtx-3080-173,90
,0,,,,,,,,https://www.pccomponentes.com/asus-rog-zephyrus-m-gu603hr-k8009t-intel-core-i7-11800h-32gb-1tb-ssd-rtx-3070-16,
3.20 GHz,8,16,512,14,NVidia GeForce RTX 3080 Ti,2,,,https://www.pccomponentes.com/asus-rog-strix-g15-g513qr-hf012-amd-ryzen-9-5900hx-16gb-1tb-ssd-rtx3070-156,
,,,,,,,,,https://www.pccomponentes.com/asus-rog-strix-g15-g513qy-hq008-amd-ryzen-9-5900hx-16gb-1tb-ssd-rx6800m-156,
,,,,,,0,,,https://www.pccomponentes.com/asus-rog-strix-g513ih-hn008-amd-ryzen-7-4800h-16gb-512gb-ssd-gtx-1650-156,
,,,,,,,,,https://www.pccomponentes.com/asus-rog-zephyrus-m15-gu502lv-az057t-intel-core-i7-10750h-16gb-512gb-ssd-rtx2060-156,
1.4 GHz,8,16,512,15.6,NVIDIA GeForce RTX 3080,3,,2.2,https://www.pccomponentes.com/asus-tuf-gaming-a15-fa507rr-hn003-amd-ryzen-7-6800h-16gb-1tb-ssd-rtx-3070-156,90
Base speed of processor cores,8,16,512,15.6,NVIDIA GeForce RTX 3070,5,,2.2,https://www.pccomponentes.com/asus-tuf-gaming-a15-fa507rr-hq008-amd-ryzen-7-6800h-32gb-1tb-ssd-rtx-3070-156,
,,,,,,,,,https://www.pccomponentes.com/asus-tuf-gaming-f15-fx506hcb-hn200-intel-core-i5-11400h-16gb-512gb-ssd-rtx-3050-156,
,0,,,,,0,,,https://www.pccomponentes.com/asus-tuf-gaming-f15-fx506hm-hn014-intel-core-i7-11800h-16gb-1tb-ssd-rtx-3060-156,
,,,,,,,,,https://www.pccomponentes.com/asus-tuf-gaming-f15-fx506hm-hn016-intel-core-i5-11400h-16gb-512gb-ssd-rtx-3060-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-asus-ux5406sa-pz334w-intel-core-ultra-7-258v-32gb-1tb-ssd-14-tactil,
4.2GHz,4,16,512,14,Intel Iris Xe Graphics,5,Windows 10 Home 64 Bits,1.4,https://www.pccomponentes.com/asus-vivobook-14-k413ea-eb1566t-intel-core-i5-1135g7-16gb-512gb-ssd-14,
Not mentioned,Not mentioned,8,Not mentioned,35.98 x 23.43 cm (diagonal),GeForce RTX series 30,4,Windows 11 Home 64 bits,1.80 kg,https://www.pccomponentes.com/asus-vivobook-pro-oled-m6500re-r96bot5ab1-amd-ryzen-9-6900hx-16gb-1tb-ssd-rtx-3050ti-156-pt,70 Wh (approx.)
5GHz,DecaCore,16,1,13.3,Intel Iris Xe Graphics,4,Windows 11 Home,1,https://www.pccomponentes.com/asus-zenbook-s-13-oled-ux5304va-nq172w-intel-evo-core-i7-1355u-16gb-1tb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-3440-intel-core-i5-1235u-8gb-512gb-ssd-14-pt,
5.0GHz,14,32,1000,15.6,NVIDIA GeForce RTX 3050,4,Windows 11 Pro,2.1,https://www.pccomponentes.com/portatil-deep-gaming-nubian-15-intel-core-i7-13620h-32-gb-1tb-ssd-rtx-3050-156,
5.0GHz,14,32GB,2TB,15.6,NVIDIA GeForce RTX 3050,4,Windows 11 Pro,2.1kg,https://www.pccomponentes.com/portatil-deep-gaming-nubian-15-intel-core-i7-13620h-32gb-2tb-ssd-rtx-3050-156,
4.2 GHz,4,8 GB,256 GB,14,Integrated Intel Iris Xe,5,Windows 10 Pro 64 bits,1.52 kg,https://www.pccomponentes.com/dell-latitude-3420-intel-core-i5-1135g7-8gb-256-gb-ssd-14,
,0,,,,,,,,https://www.pccomponentes.com/dell-latitude-3420-intel-core-i5-1135g7-8gb-256gb-ssd-14,
up to 4.8 GHz,2,16GB,512GB,14,Intel Iris Xe,5,Windows 11 Pro,1.54 kg,https://www.pccomponentes.com/dell-latitude-3440-intel-core-i5-1355u-16-gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-3450-intel-core-i5-1335u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-3450-intel-core-i5-1335u-8gb-512gb-ssd-156-teclado-frances,
,,8,256,,,4,Windows,1.78,https://www.pccomponentes.com/dell-latitude-3520-intel-core-i5-1135g7-8gb-256-gb-ssd-156,
3.20 GHz,8,16 GB,512 GB,15.6 inches,NVidia GeForce GTX 1650 Ti,2,,,https://www.pccomponentes.com/portatil-dell-latitude-3550-intel-core-i5-1335u-16gb-512gb-ssd-156-teclado-frances,
2.5 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/portatil-dell-latitude-3550-intel-core-i5-1335u-8gb-512gb-ssd-156-windows-11-pro-fr,
3.5 GHz,8,16,512,15.6,NVidia GeForce GTX 1650 Ti,2,Windows 10,,https://www.pccomponentes.com/dell-latitude-5320-intel-core-i5-1135g7-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5350-intel-core-i5-1335u-16gb-512gb-ssd-13-teclado-frances,
2.4 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,Windows 10 Home,1.48,https://www.pccomponentes.com/portatil-dell-latitude-5400-intel-core-i5-8365u-8gb-256gb-ssd-14,
1.8 GHz,4,16 GB,512 GB,14 inches,Intel UHD Graphics,5,Windows 10 Pro 64 bits,1.47 kg,https://www.pccomponentes.com/dell-latitude-5410-intel-core-i7-10610u-16gb-512gb-ssd-14,
4Ghz,8,16,512,,Integrated Graphics,2,Windows 11 Pro,1.39kg,https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i5-1335u-16gb-256gb-ssd-14-teclado-aleman,54Wh
up to 4 GHz,4,8,256,14,,3,Windows 11 Pro,1.39,https://www.pccomponentes.com/dell-latitude-5440-intel-core-i5-1335u-16gb-512gb-ssd-14,5200
2.8 GHz,4,16,512,,NVIDIA GeForce MX450,2,Windows 11 Pro,1.39,https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i7-1355u-16gb-512gb-ssd-14-teclado-portugues,4400
2.7 GHz,4,16,512,,Intel Iris Xe Graphics,2,Windows 11 Pro,1.39,https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i7-1365u-16gb-512gb-ssd-14-teclado-aleman,
,,,,,,0,,,https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-portugues,
2.8 GHz,16,64 GB,1 TB,15.6 Inch,NVidia GeForce RTX 3080,3,,,https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-7-155u-16-gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-7-165u-16gb-512gb-ssd-14-teclado-frances,
1.6 GHz,4,8 GB,256 GB,15.6,Integrated: Intel UHD Graphics 620,5,Windows 10 Pro 64 bits,1.82 kg,https://www.pccomponentes.com/dell-latitude-5500-intel-core-i5-8265u-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/dell-latitude-5510-intel-core-i5-10310u-8gb-512gb-ssd-156,
up to 2.7 GHz,4,16,512,14,Intel Iris Xe Graphics,2,Windows 11 Pro,1.61,https://www.pccomponentes.com/dell-latitude-5540-intel-core-i7-1355u-16gb-512gb-ssd-156,
4.7 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-16gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-8gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-7-155u-16gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-7-165u-16gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/dell-latitude-7300-intel-core-i5-8365u-16-gb-512gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7300-intel-core-i5-8365u-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7320-intel-core-i7-1185g7-16gb-256gb-ssd-133,
3.0 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/dell-latitude-7390-intel-core-i5-8350u-8-gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/dell-latitude-7390-intel-core-i5-8350u-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/dell-latitude-7400-intel-core-i5-8365u-8gb-256gb-ssd-14,
1.9 GHz,4,16 GB,512 GB,14 inches,Intel UHD Graphics 620,3,Windows 10 Pro 64 bits,1.35 kg,https://www.pccomponentes.com/dell-latitude-7400-intel-core-i7-8665u-16gb-512gb-ssd-14,
1.8 GHz,4,16 GB,512 GB,14 inches,Intel UHD Graphics,3,Windows 10 Pro 64 bits,1.33 kg,https://www.pccomponentes.com/dell-latitude-7410-intel-core-i7-10610u-16gb-512gb-ssd-14,
4.80 GHz,4,16,512,14,Intel Iris Xe Graphics,3,Windows 10 Pro 64 bits,1.22,https://www.pccomponentes.com/dell-latitude-7420-intel-evo-core-i7-1185g7-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7430-intel-core-i7-1265u-16gb-256gb-ssd-14,
up to 4.7 GHz,8,16 GB,512 GB,15.6 inches,Integrated Intel Iris Xe Graphics,3,Windows 11 Pro,,https://www.pccomponentes.com/portatil-dell-latitude-7440-intel-core-i5-1345u-16gb-512gb-ssd-14-teclado-aleman,
,0,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-5-135u-16gb-512gb-ssd-156-teclado-frances,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-7-155u-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-7-165u-16gb-512gb-ssd-14-tactil,
,,,,,,,,,https://www.pccomponentes.com/dell-latitude-7490-intel-core-i5-8350u-8gb-256gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7490-intel-core-i7-8650u-16gb-512gb-ssd-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-latitude-7650-intel-core-ultra-7-155u-16gb-512gb-ssd-16,
2.4 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/portatil-dell-latitude-9450-intel-core-ultra-7-165u-32-gb-1-tb-ssd-14-tactil,
2.5GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,Windows 10,,https://www.pccomponentes.com/dell-latitude-9510-intel-core-i5-10210u-8gb-256gb-ssd-15,
3.50 GHz,16,64.0,1024.0,17.3,NVidia RTX 4080 Ti,2,,,https://www.pccomponentes.com/portatil-dell-precision-3490-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-500-14-teclado-aleman,
1.8 GHz,4,16,512,,Nvidia GeForce MX350,2,Windows 11 Pro,1.62,https://www.pccomponentes.com/portatil-dell-precision-3590-intel-core-ultra-7-155h-16gb-512gb-ssd-rtx-500-156,54
,0,0,0,0,,0,,0,https://www.pccomponentes.com/portatil-dell-precision-3590-intel-core-ultra-7-155h-32gb-512gb-ssd-rtx-500-156-teclado-aleman,0
2.7 GHz,8,16,512,15.6,NVidia GeForce RTX 3080 Ti,2,Windows 10,,https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-155h-16-gb-512gb-ssd-rtx-1000-156-teclado-portugues,
,,,,,,,u003e,,https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-155h-16gb-512gb-ssd-rtx-1000-156,
2.3 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-165h-16gb-512gb-ssd-rtx-2000-156,72000
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-precision-5490-intel-core-ultra-7-165h-32gb-1-tb-ssd-rtx-1000-14,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-precision-5490-intel-core-ultra-7-165h-32gb-1-tb-ssd-rtx-2000-14,
5.4,14,32,1,16,NVIDIA RTX 3500,3,Windows 11 Pro,1.91,https://www.pccomponentes.com/dell-precision-5680-intel-core-i9-13900h-32gb-1tb-ssd-rtx-3500-16,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-precision-5690-intel-core-ultra-7-165h-32-gb-1tb-ssd-rtx-2000-16,
4.70 GHz,14,16 GB,512 GB,17,NVIDIA RTX A2000,4,Windows 10 Pro 64 bits,2.57 kg,https://www.pccomponentes.com/dell-precision-5770-intel-core-i7-12700h-16gb-512gb-ssd-rtx-a2000-17-tactil,
,,,,15.6,NVidia RTX 4080 Ti,4,Windows,2.3,https://www.pccomponentes.com/portatil-dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-2000-ada-16,
base speed (not boost/turbo),6,16,512,15.6,Nvidia GeForce RTX 3050 Ti,2,Windows 11 Pro,2.6 kg,https://www.pccomponentes.com/dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-2000-16-pt,83 Wh
up to 5.00 GHz,4,64 GB,1024,14,NVidia GeForce RTX 3080 Ti,3,Windows,2.6,https://www.pccomponentes.com/portatil-dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-2000-16-teclado-aleman,
,,,,,,,,,https://www.pccomponentes.com/portatil-dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-3500-16-teclado-aleman,
e,,,,,,,,,https://www.pccomponentes.com/portatil-dell-precision-7780-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-3500-173-teclado-aleman,
,,,,,,,,,https://www.pccomponentes.com/dell-vostro-3510-intel-core-i5-1135g7-16-gb-512gb-ssd-156,
4.3 GHz,8,16 GB,512 GB,15.6,Integrated AMD Radeon Graphics,3,Windows 11 Pro,1.94 kg,https://www.pccomponentes.com/dell-vostro-3525-amd-ryzen-7-5700u-16gb-512gb-ssd-156,
2.5GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/dell-vostro-5310-intel-core-i5-11300h-8gb-256gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/dell-vostro-5590-intel-core-i5-10210u-8gb-256gb-ssd-156,
4.6 GHz,12,16 GB,512 GB,16,NVIDIA RTX 2050,3,Windows 11 Pro,1.9 kg,https://www.pccomponentes.com/dell-vostro-5630-intel-core-i5-1340p-16gb-512gb-ssd-16,
,,,,,,,,,https://www.pccomponentes.com/denver-nbq-15147es512-intel-core-i5-8259u-8gb-512gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/dynabook-satellite-pro-c50-e-103-intel-core-i5-8250u-8gb-256gb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/dynabook-toshiba-portege-x30l-j-131-intel-core-i5-1135g7-16gb-512gb-ssd-133,
,,,,,,,,,https://www.pccomponentes.com/dynabook-toshiba-satellite-pro-c40-g-11g-intel-core-i5-10210u-8gb-512gb-ssd-14,
2.4 GHz,4,8,256,15.6,Intel Iris Xe,3,SIN SISTEMA OPERATIVO,1.76 kg,https://www.pccomponentes.com/dynabook-toshiba-satellite-pro-c50-j-112-intel-core-i5-1135g7-8gb-256gb-ssd-156,
up to 4.8 GHz,16,48,512,15.6,Nvidia GeForce RTX 3080 Ti,5,FreeDOS (no sistema operativo),2.12,https://www.pccomponentes.com/gigabyte-a5-k1-aes1130sd-amd-ryzen-5-5600h-16gb-512gb-ssd-rtx-3060-156,
,0,,,,,,,,https://www.pccomponentes.com/gigabyte-aero-15-oled-wb-8es5130sd-intel-core-i7-10875h-16gb-512gb-ssd-rtx-2070-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aero-15-oled-xa-7es5130sd-intel-core-i7-9750h-16gb-512gb-ssd-rtx-2070-156,
5 GHz,,16 GB,1 TB,16 inches,NVIDIA GeForce RTX 4070,3,Windows 11 Home,1.9 kg,https://www.pccomponentes.com/portatil-gigabyte-aero-16-oled-bkf-73pt994so-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4070-16-teclado-portugues,
Base speed,4,16,512,15.6,NVidia GeForce RTX 4080 Ti,3,Windows 11 Pro,2.1,https://www.pccomponentes.com/gigabyte-aero-16-oled-bsf-a3es964sp-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4070-16,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aero-16-xe5-73es938hp-intel-core-i7-12700h-16gb-2tb-ssd-rtx-3070ti-16,
2.8 GHz,6,16,512,14,NVidia RTX 4080 Ti,3,Windows 11,,https://www.pccomponentes.com/gigabyte-aero-16-xe5-73es948hp-intel-core-i7-12700h-32gb-2tb-ssd-rtx-3070ti-16,78000
2.80 GHz,4,16 GB,512 GB,15.6 inches,NVidia GeForce RTX 3050 Ti,3,,,https://www.pccomponentes.com/gigabyte-aero-16-ye5-94es948hp-intel-core-i9-12900hk-32gb-2tb-ssd-rtx-3080ti-16,
2.5 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,Windows 10,,https://www.pccomponentes.com/gigabyte-aorus-15-2024-bkg-13es754sh-intel-core-ultra-7-155h-16gb-1tb-ssd-rtx-4060-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15-9kf-e3es383sh-intel-core-i5-12500h-8gb-512gb-ssd-rtx-4060-156,
3.70GHz,14,16,512,15.6,NVIDIA GeForce RTX 4070,5,Windows 11 Home,2.25,https://www.pccomponentes.com/gigabyte-aorus-15-bsf-73es754sh-intel-core-i7-13700h-16gb-512gb-ssd-rtx-4070-156,
3.70 GHz,14 cores,16,512,15.6,NVIDIA GeForce RTX 4070,5,Windows 11,2.25,https://www.pccomponentes.com/gigabyte-aorus-15-bsf-73pt754sh-intel-core-i7-13700h-16gb-1tb-ssd-rtx-4070-156-teclado-portugues,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15-xe4-73esb14sh-intel-core-i7-12700h-16gb-1tb-ssd-rtx-3070ti-156,
,0,0,0,0,,0,,,https://www.pccomponentes.com/gigabyte-aorus-15g-wb-8es2130mh-intel-core-i7-10875h-16gb-512gb-ssd-rtx-2070-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15g-xc-8es2430sh-intel-core-i7-10870h-32gb-512gb-ssd-rtx-3070-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15g-yc-8es2450sh-intel-core-i7-10870h-32gb-1tb-ssd-rtx-3080-156,
,0,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15p-kd-72es224sh-intel-core-i7-11800h-16gb-1tb-ssd-rtx-3060-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15p-xd-intel-core-i7-11800h-16gb-1tb-ssd-rtx-3070-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15p-xd-73es324sh-intel-core-i7-11800h-16gb-1tb-ssd-rtx-3070-156,
,,,,,,,,,https://www.pccomponentes.com/gigabyte-aorus-15p-yd-74es244sh-intel-core-i7-11800h-32gb-1tb-ssd-rtx-3080-156,
3.0 GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/portatil-gigabyte-aorus-16x-2024-asg-53ptc54sh-intel-core-i7-14650hx-16gb-2tb-ssd-rtx-4070-16-pt,5600
,,,,,,,,,https://www.pccomponentes.com/portatil-gigabyte-aorus-16x-asg-63dec65sh-intel-core-i7-14650hx-32gb-1tb-ssd-rtx-4070-16-de,
